symbol,date,price
Fisher,2015-07-31,3178
Arno,2015-07-31,4593
Temp,2015-07-31,3180
Vandelay,2015-07-31,2002
Harper,2015-07-31,265
Harris,2015-07-31,4805
Fisher,2015-08-01,0
Arno,2015-08-01,0
Temp,2015-08-01,0
Vandelay,2015-08-01,0
Harper,2015-08-01,0
Harris,2015-08-01,617
Fisher,2015-08-02,0
Arno,2015-08-02,0
Temp,2015-08-02,0
Vandelay,2015-08-02,0
Harper,2015-08-02,0
Harris,2015-08-02,0
Fisher,2015-08-03,3585
Arno,2015-08-03,6620
Temp,2015-08-03,0
Vandelay,2015-08-03,488
Harper,2015-08-03,0
Harris,2015-08-03,37085
Fisher,2015-08-04,4180
Arno,2015-08-04,17
Temp,2015-08-04,4732
Vandelay,2015-08-04,430
Harper,2015-08-04,0
Harris,2015-08-04,9469
Fisher,2015-08-05,0
Arno,2015-08-05,0
Temp,2015-08-05,160
Vandelay,2015-08-05,1040
Harper,2015-08-05,445
Harris,2015-08-05,7775
Fisher,2015-08-06,0
Arno,2015-08-06,0
Temp,2015-08-06,8675
Vandelay,2015-08-06,1617
Harper,2015-08-06,0
Harris,2015-08-06,6073
Fisher,2015-08-07,0
Arno,2015-08-07,5899
Temp,2015-08-07,6590
Vandelay,2015-08-07,681
Harper,2015-08-07,0
Harris,2015-08-07,8849
Fisher,2015-08-08,0
Arno,2015-08-08,0
Temp,2015-08-08,0
Vandelay,2015-08-08,0
Harper,2015-08-08,0
Harris,2015-08-08,0
Fisher,2015-08-09,0
Arno,2015-08-09,0
Temp,2015-08-09,0
Vandelay,2015-08-09,0
Harper,2015-08-09,0
Harris,2015-08-09,0
Fisher,2015-08-10,5460
Arno,2015-08-10,6907
Temp,2015-08-10,0
Vandelay,2015-08-10,1105
Harper,2015-08-10,24405
Harris,2015-08-10,31192
Fisher,2015-08-11,0
Arno,2015-08-11,108
Temp,2015-08-11,4994
Vandelay,2015-08-11,471
Harper,2015-08-11,1675
Harris,2015-08-11,8616
Fisher,2015-08-12,0
Arno,2015-08-12,235
Temp,2015-08-12,0
Vandelay,2015-08-12,1712
Harper,2015-08-12,8907
Harris,2015-08-12,9325
Fisher,2015-08-13,0
Arno,2015-08-13,330
Temp,2015-08-13,14573
Vandelay,2015-08-13,822
Harper,2015-08-13,6243
Harris,2015-08-13,4191
Fisher,2015-08-14,4206
Arno,2015-08-14,6950
Temp,2015-08-14,3410
Vandelay,2015-08-14,553
Harper,2015-08-14,0
Harris,2015-08-14,5136
Fisher,2015-08-15,0
Arno,2015-08-15,0
Temp,2015-08-15,0
Vandelay,2015-08-15,0
Harper,2015-08-15,0
Harris,2015-08-15,0
Fisher,2015-08-16,0
Arno,2015-08-16,0
Temp,2015-08-16,0
Vandelay,2015-08-16,0
Harper,2015-08-16,0
Harris,2015-08-16,0
Fisher,2015-08-17,3910
Arno,2015-08-17,7890
Temp,2015-08-17,0
Vandelay,2015-08-17,399
Harper,2015-08-17,0
Harris,2015-08-17,37105
Fisher,2015-08-18,3640
Arno,2015-08-18,0
Temp,2015-08-18,0
Vandelay,2015-08-18,1138
Harper,2015-08-18,24313
Harris,2015-08-18,7895
Fisher,2015-08-19,160
Arno,2015-08-19,0
Temp,2015-08-19,0
Vandelay,2015-08-19,1156
Harper,2015-08-19,8444
Harris,2015-08-19,12317
Fisher,2015-08-20,0
Arno,2015-08-20,0
Temp,2015-08-20,8745
Vandelay,2015-08-20,149
Harper,2015-08-20,6325
Harris,2015-08-20,5885
Fisher,2015-08-21,0
Arno,2015-08-21,7030
Temp,2015-08-21,3307
Vandelay,2015-08-21,0
Harper,2015-08-21,0
Harris,2015-08-21,7256
Fisher,2015-08-22,0
Arno,2015-08-22,0
Temp,2015-08-22,0
Vandelay,2015-08-22,0
Harper,2015-08-22,0
Harris,2015-08-22,0
Fisher,2015-08-23,0
Arno,2015-08-23,0
Temp,2015-08-23,0
Vandelay,2015-08-23,0
Harper,2015-08-23,0
Harris,2015-08-23,0
Fisher,2015-08-24,5560
Arno,2015-08-24,4690
Temp,2015-08-24,0
Vandelay,2015-08-24,2266
Harper,2015-08-24,0
Harris,2015-08-24,39813
Fisher,2015-08-25,3830
Arno,2015-08-25,95
Temp,2015-08-25,0
Vandelay,2015-08-25,4057
Harper,2015-08-25,2473
Harris,2015-08-25,8265
Fisher,2015-08-26,0
Arno,2015-08-26,0
Temp,2015-08-26,150
Vandelay,2015-08-26,1589
Harper,2015-08-26,13583
Harris,2015-08-26,9654
Fisher,2015-08-27,0
Arno,2015-08-27,0
Temp,2015-08-27,6980
Vandelay,2015-08-27,4368
Harper,2015-08-27,5180
Harris,2015-08-27,6636
Fisher,2015-08-28,0
Arno,2015-08-28,8474
Temp,2015-08-28,5601
Vandelay,2015-08-28,2753
Harper,2015-08-28,781
Harris,2015-08-28,7488
Fisher,2015-08-29,0
Arno,2015-08-29,0
Temp,2015-08-29,0
Vandelay,2015-08-29,0
Harper,2015-08-29,0
Harris,2015-08-29,0
Fisher,2015-08-30,0
Arno,2015-08-30,0
Temp,2015-08-30,0
Vandelay,2015-08-30,0
Harper,2015-08-30,0
Harris,2015-08-30,0
Fisher,2015-08-31,4260
Arno,2015-08-31,6158
Temp,2015-08-31,160
Vandelay,2015-08-31,1513
